City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,11.7,11.7,68,8.9,AU,1681418538
1,vaini,-21.2,-175.2,28.09,28.09,20,3.6,TO,1681418538
2,cidreira,-30.1811,-50.2056,19.22,19.22,100,4.62,BR,1681418509
3,san patricio,28.017,-97.5169,27.88,24.91,5,5.48,US,1681418539
4,jamestown,42.097,-79.2353,26.8,21.77,0,5.66,US,1681418529
5,arraial do cabo,-22.9661,-42.0278,27.98,26.92,0,6.69,BR,1681418539
6,makakilo city,21.3469,-158.0858,27.18,23.32,0,7.2,US,1681418540
7,newport,51.5877,-2.9984,7.6,5.72,100,3.58,GB,1681418533
8,cockburn town,21.4612,-71.1419,25.82,25.82,51,6.03,TC,1681418541
9,guaruja,-23.9931,-46.2564,27.92,27.69,0,3.6,BR,1681418541
10,san borja,-14.8167,-66.85,29.58,29.58,95,1.32,BO,1681418332
11,lompoc,34.6391,-120.4579,21.68,13.85,20,10.73,US,1681418541
12,hovd,48.0056,91.6419,-1.2,-1.2,22,3.58,MN,1681418542
13,castro,-24.7911,-50.0119,18.53,18.53,61,2.25,BR,1681418542
14,lagoa,39.05,-27.9833,16.49,16.49,100,4.86,PT,1681418542
15,new norfolk,-42.7826,147.0587,12.18,9.95,63,0.2,AU,1681418543
16,atuona,-9.8,-139.0333,26.64,26.64,97,2.51,PF,1681418543
17,souillac,-20.5167,57.5167,24.21,24.21,20,2.57,MU,1681418544
18,kaeo,-35.1,173.7833,19.62,19.62,54,3.94,NZ,1681418544
19,kruisfontein,-34.0033,24.7314,14.38,14.38,0,6.41,ZA,1681418544
20,torbay,47.6666,-52.7314,4.6,0.09,100,5.66,CA,1681418544
21,lebu,-37.6167,-73.65,15.36,15.36,38,2.5,CL,1681418545
22,port hardy,50.6996,-127.4199,8.1,7.0,100,4.12,CA,1681418535
23,rikitea,-23.1203,-134.9692,22.38,22.38,100,5.2,PF,1681418545
24,sinnamary,5.3833,-52.95,26.71,26.71,87,4.25,GF,1681418546
25,rocha,-34.4833,-54.3333,15.22,15.22,3,5.18,UY,1681418546
26,valdivia,-39.8142,-73.2459,22.05,22.05,89,1.34,CL,1681418546
27,bhuj,23.2667,69.6667,26.07,26.07,0,3.7,IN,1681418547
28,san juan,-31.5375,-68.5364,19.38,19.38,59,6.65,AR,1681418428
29,sungai besar,3.6746,100.9867,25.61,25.61,63,2.41,MY,1681418548
30,tasiilaq,65.6145,-37.6368,3.09,3.09,95,1.21,GL,1681418548
31,cape town,-33.9258,18.4232,19.1,17.29,40,1.79,ZA,1681418388
32,dikson,73.5069,80.5464,-24.01,-24.01,93,4.66,RU,1681418548
33,broken hill,-31.95,141.4333,12.22,12.22,7,2.45,AU,1681418549
34,svetlogorsk,52.6333,29.7333,8.07,8.07,100,4.23,BY,1681418549
35,sarangani,5.4033,125.4636,27.88,27.88,42,1.13,PH,1681418549
36,kaitangata,-46.2817,169.8464,14.96,14.96,63,5.55,NZ,1681418550
37,saint-ambroise,48.5501,-71.3324,17.78,14.17,98,1.03,CA,1681418550
38,port alfred,-33.5906,26.891,14.54,14.54,20,0.45,ZA,1681418551
39,talnakh,69.4865,88.3972,-24.62,-24.62,100,3.52,RU,1681418551
40,kahului,20.8947,-156.47,26.01,23.5,40,6.17,US,1681418551
41,kilindoni,-7.9139,39.6668,26.9,26.9,99,4.91,TZ,1681418551
42,albany,42.6001,-73.9662,30.23,30.23,3,4.15,US,1681418433
43,carballo,43.213,-8.691,12.64,10.59,100,4.48,ES,1681418552
44,dingle,10.9995,122.6711,23.64,23.64,100,0.52,PH,1681418552
45,sept-iles,50.2001,-66.3821,5.0,3.24,100,2.57,CA,1681418537
46,roma,43.2128,-75.4557,28.08,28.08,0,5.66,US,1681418261
47,provideniya,64.3833,-173.3,-14.24,-14.24,6,1.79,RU,1681418553
48,raigarh,21.9,83.4,28.56,28.56,99,1.22,IN,1681418553
49,sitka,57.0531,-135.33,4.94,4.94,100,4.12,US,1681418553
50,punta arenas,-53.15,-70.9167,8.01,6.73,0,2.57,CL,1681418430
51,mataura,-46.1927,168.8643,11.38,11.38,9,3.58,NZ,1681418554
